repetition,num_actions,occurrence_ratio,conflct_ratio,time_performance,makespan,total_waiting_time,total_flow_time
1,500,1,0.3,3655.212,212.0,54567.0,55066.0
2,500,1,0.3,3616.800333333334,212.0,51777.0,52276.0
3,500,1,0.3,3356.7136666666665,193.0,47870.0,48369.0
4,500,1,0.3,3269.843666666667,182.0,46276.0,46775.0
5,500,1,0.3,3783.8043333333335,212.0,52432.0,52931.0
6,500,1,0.3,3643.352666666667,212.0,52016.0,52515.0
7,500,1,0.3,3509.623,204.0,48474.0,48973.0
8,500,1,0.3,3716.492333333333,211.0,54194.0,54693.0
9,500,1,0.3,3261.8446666666664,193.0,46932.0,47431.0
10,500,1,0.3,3245.652333333333,185.0,47076.0,47575.0
1,500,1,0.31,3864.422,220.0,55900.0,56399.0
2,500,1,0.31,3377.652,196.0,48394.0,48893.0
3,500,1,0.31,3691.345333333333,211.0,51968.0,52467.0
4,500,1,0.31,3426.2436666666667,198.0,48585.0,49084.0
5,500,1,0.31,3553.7746666666667,203.0,50106.0,50605.0
6,500,1,0.31,3770.4726666666666,211.0,52720.0,53219.0
7,500,1,0.31,3562.3979999999997,206.0,51596.0,52095.0
8,500,1,0.31,3479.916333333333,202.0,49246.0,49745.0
9,500,1,0.31,3321.989,190.0,46013.0,46512.0
10,500,1,0.31,3543.848,205.0,50042.0,50541.0
1,500,1,0.32,3648.343666666666,205.0,50686.0,51185.0
2,500,1,0.32,3696.6186666666667,212.0,52090.0,52589.0
3,500,1,0.32,3758.9106666666667,209.0,52681.0,53180.0
4,500,1,0.32,3712.836333333333,208.0,52002.0,52501.0
5,500,1,0.32,3576.653333333333,204.0,49715.0,50214.0
6,500,1,0.32,3464.6226666666666,198.0,48633.0,49132.0
7,500,1,0.32,3737.156333333333,210.0,51673.0,52172.0
8,500,1,0.32,3751.922,217.0,52807.0,53306.0
9,500,1,0.32,3616.842666666667,210.0,50484.0,50983.0
10,500,1,0.32,3555.694,203.0,50635.0,51134.0
1,500,1,0.33,3775.887666666666,209.0,50865.0,51364.0
2,500,1,0.33,4246.374,235.0,58682.0,59181.0
3,500,1,0.33,3981.345333333333,217.0,53751.0,54250.0
4,500,1,0.33,3679.9566666666665,206.0,48721.0,49220.0
5,500,1,0.33,4052.277,228.0,54783.0,55282.0
6,500,1,0.33,3574.577333333333,199.0,48556.0,49055.0
7,500,1,0.33,3689.7053333333333,208.0,50106.0,50605.0
8,500,1,0.33,3820.3890000000006,210.0,52801.0,53300.0
9,500,1,0.33,3865.0220000000004,211.0,53045.0,53544.0
10,500,1,0.33,4081.471333333333,229.0,55449.0,55948.0
1,500,1,0.34,3681.630333333333,203.0,49318.0,49817.0
2,500,1,0.34,4200.185,227.0,57134.0,57633.0
3,500,1,0.34,3875.1029999999996,216.0,52775.0,53274.0
4,500,1,0.34,3852.1730000000002,211.0,53230.0,53729.0
5,500,1,0.34,3742.4563333333335,207.0,50998.0,51497.0
6,500,1,0.34,3660.8259999999996,202.0,49551.0,50050.0
7,500,1,0.34,3622.8549999999996,206.0,48752.0,49251.0
8,500,1,0.34,3922.061333333333,220.0,51888.0,52387.0
9,500,1,0.34,4009.721666666667,220.0,54947.0,55446.0
10,500,1,0.34,3812.979333333333,217.0,50698.0,51197.0
1,500,1,0.35,3943.913,214.0,53044.0,53543.0
2,500,1,0.35,4230.849999999999,225.0,54410.0,54909.0
3,500,1,0.35,4182.359333333333,229.0,55198.0,55697.0
4,500,1,0.35,4324.122333333334,234.0,56934.0,57433.0
5,500,1,0.35,3949.563,216.0,52499.0,52998.0
6,500,1,0.35,4053.1613333333335,221.0,55246.0,55745.0
7,500,1,0.35,4096.546666666667,221.0,54074.0,54573.0
